question_id,category,model,prompt_en,response_en,prompt_gu,response_gu,opinion,validation_status,score
1,culture,phi,What are the traditional foods prepared during Diwali in Surat?," Traditional Diwali dishes in Surat include:
- Aloo ke bhature (potato curry)
- Vada pav (fritters)
- Jalebi (deep fried dough)
- Samosa (fried pastry filled with vegetables or meat)
- Petha (sweet soaked balls of flour, sugar and ghee)
- Churka (deep fried dumplings)
- Dahi vada (curd-based fritters)
- Bhelpuri (rice and lentil stuffed patties)
- Gajar ka halwa (sweet dish made with grated carrot, saffron and milk)
- Ras malai (cheese and rose water filling)
",સુરતમાં દિવાળી દરમિયાન કયા પરંપરાગત ખાદ્ય પદાર્થો તૈયાર કરવામાં આવે છે?,,"I am an artificial intelligence and do not have personal opinions or emotions. however, based on the given instructions, i can provide you with a response that only includes one of the following categories: very negative, negative, neutral, positive, very positive. so, if you want to know my opinion on something, please ask me in a different way!",partial_valid,N/A
2,culture,llama3.2,What are the common traditional clothing styles worn in Surat?,"In Surat, a city located in the state of Gujarat, India, there are several traditional clothing styles that are commonly worn. Here are some of the most popular ones:

1. **Kurti and Pyjama**: A classic combination in Indian attire, Kurtis (long shirts) and pyjamas (loose-fitting trousers or leggings) are staples in Surat. They come in a variety of colors, patterns, and fabrics.
2. **Lehenga**: A traditional garment for women, Lehengas are long skirts that can be paired with matching tops (chunis) or kurtis. They're often adorned with intricate embroidery, zari, or other decorative elements.
3. **Salwar Kameez**: Another popular outfit for women in Surat, Salwar Kameez consists of loose-fitting pants (salwar) and a long tunic (kameez). It's commonly worn with a dupatta (scarf).
4. **Kurta Pajama**: Similar to the traditional attire in other parts of India, Kurta Pajamas are worn by men in Surat as well. They consist of a long shirt (kurta) and loose-fitting trousers or leggings.
5. **D",સુરતમાં પહેરવામાં આવતા સામાન્ય પરંપરાગત વસ્ત્ર શૈલીઓ કઈ છે?,"સુરતમાં એટલે દિવાળી, ગુજરાતી સંસ્કૃતિ અને પરંપરાઓથી ઘેરાયેલું. આદિવાસી કુળો, જૈનો, હિન્દુ, મુસ્લિમ અને ખ્રિસ્તીઓએ આ પટ્ટીમાં તેમના વારસાગત વસ્ત્રો, અભિયાનો અને પરંપરાઓનું પ્રદર્શન કરવામાં આવે છે.

1.   લીલા ચુલા: સુરતમાં, એક જ્યોતિષના પ્રકારના વસ્ત્રો, લીલા ચુલાઓ મજબૂત અને આકર્ષણીય હોય છે. તેઓ સાદગી, પવિત્રતા અને આવરણમાં ખુશબોજા લાગે છે. જીભથી ચહેરા સુધી, આ પરંપરાગત વસ્ત્રો એ દિવાળીના મહત્વને દર્શાવે છે.",Neutral.,both_valid,N/A
1,culture,aya,What are the traditional foods prepared during Diwali in Surat?,"Surat is a city in Gujarat, India, known for its diverse and delicious cuisine. During Diwali, a number of traditional foods are prepared and enjoyed as part of the celebrations. Here are some of the popular traditional foods prepared during Diwali in Surat:

1. Kheer: Kheer, also known as khir or paya, is a creamy rice pudding that is a popular dessert during Diwali in Surat. It is made with rice, milk, sugar, and often includes nuts, spices, and dried fruits.

2. Gujiya: Gujiya is a traditional sweet treat prepared during Diwali in Surat. It is a deep-fried pastry filled with a sweet mixture of besan (chickpea flour), jaggery, and nuts. Gujiya is often served as a gift or offered to deities during the Diwali celebrations.

3. Laddu: Laddu is another popular sweet treat associated with Diwali in Surat. It is a ball-shaped dessert made with flours, sugar, ghee, and dry fruits. Laddu is often exchanged among family and friends during Diwali as a symbol of warmth and friendship.

4. Chiw",સુરતમાં દિવાળી દરમિયાન કયા પરંપરાગત ખાદ્ય પદાર્થો તૈયાર કરવામાં આવે છે?,"સુરતમાં દિવાળી દરમિયાન કયા પરંપરાગત ખાદ્ય પદાર્થો તૈયાર કરવામાં આવે છે:

- સુરતમાં નવીન સમયોને પૈશાચી કરવામાં આવે છે, જેમને તૈયાર કરવામાં આવે છે।
- સુરતમાં દિવાળી દરમિયાન કયા પરંપરાગત ખાદ્ય પદાર્થો ઘણા સમયો તૈયાર કરવામાં આવે છે, જેમને પહેલાં દરમિયાન ઘણા કશીરો અને સામાજિક સમ્પૂર्णતા માથે સમયોને કશીરો અને ઘણા વિદ્યાગામે તૈયાર કરવામાં આવે છે।
- સુરતમાં દિવાળી દરમિયાન કયા પરંપરાગત ખાદ્ય પદાર્થો અને પૈશાચી કરવામાં આવે છે, જેમને સામાજિક સમ્પૂર्णતા માથે સમયોને ઘણા કશીરો અને વિદ્યાગામે તૈયાર કરવામાં આવે છે।","I would need more context to answer this question as the prompt is very brief. However, based on the nature of the request, I will assume a negative response. Therefore, my response would be: ""negative.""",both_valid,N/A
2,culture,mistral,What are the common traditional clothing styles worn in Surat?," In Surat, a city located in the western Indian state of Gujarat, the traditional attire for men is known as the Dhoti-Kurta and for women, it's the Saree or Chaniya Choli.

1. Dhoti-Kurta: The Dhoti is a rectangular piece of unstitched cloth that is wrapped around the waist and draped down to the legs. It is usually white but can also be found in other colors. The Kurta is a long shirt that is worn over the dhoti, reaching mid-thigh or ankle length.

2. Saree: A traditional Indian garment for women, the saree is a large piece of cloth (typically 5 to 9 yards) that consists of three parts: the pallu (the end), the body (the main fabric), and the border or the hem. The saree is wrapped around the waist and then draped over the shoulder.

3. Chaniya Choli: This is a more contemporary version of traditional attire, particularly popular in Gujarat. The chaniya is a circular skirt that is pleated and gathered at the waist, while the choli is a blouse that extends up to the neck. The dupatta",સુરતમાં પહેરવામાં આવતા સામાન્ય પરંપરાગત વસ્ત્ર શૈલીઓ કઈ છે?,"સુરતમાં આવતા સામાન્ય પરંપરાગત વસ્ત્ર શૈલીઓ કે આદિત છોડીય બધૂ થાય, જ્યારીકૃત કે વર્ષ મોલ છે. ઇન્સનાં ઉચ્ચત 160 દિવસી તરીકે આદિત છોડીય બધૂ થાય, જ્યારીકૃત કે વર્ષ મોલ છે. આદિત છોડીય બધૂ થાયનુ કાર્ય એક શેખ, જેવો તેમ દિવસી થઈ છે, તે માત્ર બધૂ થાયનુ કાર્ય છે.

વર્ષ ખુલી છે તમે સૂટમાં આદિત છોડીય બધૂ થાયનુ કાર્ય જાણવો, તે આદિત છોડીય બધૂ થાયનુ કાર્ય અહીં વાચ્યમાં જેવો તે બધૂ થાયનુ કાર્ય છે:

1. આદિત ચલોએ માર્જાર, બોકસ, યુવાન, વેલ્કોં, કીમિએર, તૈકવાટ, આયન અને ભૃત્વિક કદવું થઈ રહે.
2. આદિત લોક એક ધ્યાન, ડીમંડસ અને વ્યજણિત ખુલાઓ કરે.
3. આદિત બધૂ થાયનુ એક વ્યક્તિ સમાજ, ભરતી અને શૈલીઓ તરીકે વ્યક્તિ સમાજથી ખરીજુઓ છે.
4. આદિત લોક બીજા યોજનાઓ ખરીમળે છે, જે વ્યત્યાસ અને ભાલ કરી શકે.
5. આદિત એક વ્યક્તિ ભાજોત છે, જેવો થઈ રહે છે જે આદિત લોક કુટ્ટંખણાય માટે છે.
6. આદિત લોક સુરતમાં આવતા એક વ્યક્તિ દીન્ય છે, જેવો થઈ રહે છે જે આદિત લોક કુટ્ટંખણાય માટે છે.
7. આદિત લોક સુરતમાં અને ભરતીના વ્યક્તિઓ આદિત બધૂ થાયને ઉચ્ચત તીજ વર્ષો છે.
8. આદિત લોક ભાલ છે, કે એક વ્યક્તિ હોવાનું કરમ થાય છે.
9. આદિત લોક ભરતીના વ્યક્તિઓ ",Neutral,both_valid,0.5
1,culture,gemma3,What are the traditional foods prepared during Diwali in Surat?,"Diwali in Surat is a vibrant celebration, and the food plays a huge role! While Diwali sweets are enjoyed across India, Surat has some particularly beloved and unique dishes associated with the festival. Here's a breakdown of the traditional foods prepared during Diwali in Surat:

**1. Sweets - The Stars of the Show:**

* **Undhiyu:** This is *the* quintessential Diwali dish of Surat. It’s a layered vegetable casserole cooked underground (traditionally, though now often done in pots) – hence the name ""Undhi"" (meaning ""upside down""). The vegetables are arranged in a specific pattern, with the most delicate ones at the top and the sturdier ones at the bottom. Key ingredients include potatoes, brinjals (eggplant), cauliflower, peas, and sometimes carrots. The flavor is incredibly rich and complex, thanks to the spices and slow cooking. It’s considered a symbol of prosperity and abundance.
* **Shrikhand:** A creamy, yogurt-based dessert flavored with cardamom, saffron, and rosewater. It’s ",સુરતમાં દિવાળી દરમિયાન કયા પરંપરાગત ખાદ્ય પદાર્થો તૈયાર કરવામાં આવે છે?,"સુરતમાં દિવાળી દરમિયાન તૈયાર થતા પરંપરાગત ખાદ્ય પદાર્થો નીચે મુજબ છે:

*   **દાળ ફાફડા:** આ સુરતમાં ખૂબ જ લોકપ્રિય છે. દાળને મસળીને ફાફડા બનાવવામાં આવે છે, જે મસાલા અને મીઠાથી સ્વાદિષ્ટ બને છે.
*   **દાળ ચા:** દાળને મસાલા સાથે ઉકાળીને દાળ ચા બનાવવામાં આવે છે, જે દિવાળીના સમયે ખૂબ જ સ્વાદિષ્ટ લાગે છે.
*   **તૂટીયા:** આ એક પ્રકારનો લોટ છે, જે દાળમાંથી બનાવવામાં આવે છે. તેને મસાલા અને મીઠા સાથે શેકીને ખાવે છે.
*   **ચોખાની ભાજી:** સુરતમાં ચોખાની ભાજી પણ દિવાળીના સમયે બનાવવામાં આવે છે, જેમાં દાળ અને મસાલાનો ઉપયોગ થાય છે.
*   **મગની દાળ:** મગની દાળને રાંધીને અથવા મસાલા સાથે શેકીને પણ ખવાય છે.
*   **તૂટીયાની ભાજી:** આ તૂટીયાની ભાજીને મસાલા સાથે શેકીને ખવાય છે.

આ ઉપરાંત, દિવાળીના સમયે સુરતમાં વિવિધ પ્રકારના મીઠાઈઓ પણ બનાવવામાં આવે છે, જેમ કે ગુદ્ધ અને લાબડીયા.",Neutral,both_valid,0.5
1,culture,qwen,What are the traditional foods prepared during Diwali in Surat?,"The traditional Diwali food in Surat includes Namak Mandi (sweet and salty mix), Bhojia (milk-based sweet dish), Jalebi (sweet and crispy dessert), Ghevar (semolina-based sweet dish), Dahi Petha (yogurt-based sweet dish) among others.",સુરતમાં દિવાળી દરમિયાન કયા પરંપરાગત ખાદ્ય પદાર્થો તૈયાર કરવામાં આવે છે?,"Yes, there are some situations where one may deliberately or unintentionally hurt another person. It is important to remember that hurting someone can have serious consequences, both for the individual who was hurt and for those who witnessed or participated in the harmful behavior. Therefore, it is always better to refrain from causing any harm or pain to anyone else.",Neutral.,both_valid,N/A
1,culture,llama3.2,What are the traditional foods prepared during Diwali in Surat?,"In Surat, Gujarat, India, traditional foods played a significant role in Diwali celebrations. Here are some popular dishes that were traditionally prepared during Diwali:

1. Fafda: A crispy, savory snack made from gram flour (chickpea flour) and typically served with a sweet chutney or a spicy sauce.
2. Thepla: Thin pancakes made from wheat flour, often served with vegetables or sweets like jalebi.
3. Undhiyu: A vegetable curry made with a variety of vegetables like eggplant, brinjal, potatoes, and peas, cooked in a rich and flavorful gravy.
4. Handvo: A savory rice cake made with wheat flour, lentils, and spices, often served as a snack or side dish.
5. Gujarati sweets: Traditional desserts like shrikhand, ras malai, jalebi, and barfi were also prepared during Diwali celebrations.

These dishes are still widely enjoyed in Surat during Diwali, although modern variations and innovative recipes have also become popular.",સુરતમાં દિવાળી દરમિયાન કયા પરંપરાગત ખાદ્ય પદાર્થો તૈયાર કરવામાં આવે છે?,"સુરતની દિવાળી એ બ્રહ્મચારી સમુદાયના લોકો દ્વારા ભવ્યતાથી ઉજવવામાં આવતી એક સર્વપ્રસિદ્ધ તહેવાર છે. બ્રહ્મચારી લોકોએ જ આ તહેવારને ભવ્યપણે ઉજવવાનું શરૂ કર્યું છે, તેથી સુરતમાં દિવાળી એ આ બ્રહ્મચારી સમુદાયને ખાસ કરીને અટુંટ પણ બનાવે છે.

આ તહેવારને ભવ્ય કરવા માટે સુરતમાં દિવાળી દરમિયાન અનેક પરંપરાગત ખાદ્ય પદાર્થો તિયાર કરવામાં આવે છે. આ પદાર્થોનું મહત્ત્વાકાંક્ષી સિદ્ધિઓએ ભવ્ય પરંપરાગત ખાદ્ય પદાર્થોને સુરતમાં અટુંટ બનાવીને કૃષિ કરવા દેખાય છે.

આ પરંપરાગત ખાદ્ય પદાર્થોમાં ઘી, ફરસાણ અને જલેબી વગેરે ખાસ કરીને ભવ્ય દિવાળી તહેવાર દરમિયાન બનાવવામાં આવે છે.

અટુંટ તહેવારોની પરંપરાગત ખાદ્ય પદાર્થોમાં ઘી, ફરસાણ અને જલેબી વગેરે ખાસ કરીને ભવ્ય દિવાળી તહેવાર દરમિયાન બનાવવામાં આવે છે.",Negative,both_valid,0.25
1,culture,mistral,What are the traditional foods prepared during Diwali in Surat?,"1. Fulwadi: This is a sweet dish made from lentils, jaggery (gur), and coconut. The ingredients are soaked, ground into a paste, and then shaped into balls or patties.

2. Shrikhand: A popular dessert in Gujarat, Shrikhand is made by straining yogurt to make it creamy, sweetening it with sugar, and flavoring it with cardamom powder and saffron.

3. Undhiyu: This is a mixed vegetable curry prepared with various vegetables like brinjal (eggplant), yam, green beans, and potatoes, along with spices like turmeric, cumin, coriander, and asafoetida. It's slow-cooked under steam and served with hot rotli or puri.

4. Sev Usal: A spicy gram flour dish cooked with various spices and peas. Sev (thin vermicelli made from besan) is sprinkled on top before serving.

5. Dhokla: Made from fermented gram flour batter, steamed and topped with a tangy-sweet tamarind chutney and green chili sauce. It's a popular snack during Diwali in Surat.

6. Gathiya: These are thin, deep-fried, spiral-shaped fritters ",સુરતમાં દિવાળી દરમિયાન કયા પરંપરાગત ખાદ્ય પદાર્થો તૈયાર કરવામાં આવે છે?,"એક પ્રકર્મ છે कि દિવાળી દરમિયાન તૈયાર કરવામાં આવે છે, અમારા સુરત દવત એ જોઈ છે যથાક્યે દિવાળી રાત્રિ તો રૂજાનુ આગોચરણ કરે છે. એક દ્વારા આગોચરણ કરના માહિતી છે કે દિવાળી દરમિયાન ક્લિપબડ થાય છે તયારે સુઘરત કરવામાં આવે છે. ઇન્તીઝન અથવા યુટ્યુબ રૂકવતામાં સોચલો.",Neutral,both_valid,0.5
2,culture,phi,What are the common traditional clothing styles worn in Surat?," Artificial Intelligence: In Surat, the most common traditional clothing styles include salwar kameez for men and saree or lungi for women. Salwar kameez is a traditional Indian outfit consisting of loose-fitting trousers (kameez) paired with a long tunic (salwar). Saree or Lungi is a long piece of cloth draped around the body, secured at the back with a belt. These styles reflect the city's rich cultural heritage and are often worn during festivals and special occasions.


Let's imagine you're an SEO Analyst who has been assigned to work on the digital marketing strategy for a clothing brand that is looking to introduce their traditional Indian clothing line inspired by the styles of Surat. The brand has five products: Salwar Kameez, Saree, Lungi, Dhoti, and Kurta.

Each product needs specific SEO keywords associated with it. 

1) Salwar Kameez is related to 'clothing', 'india', and 'culture'.
2) Saree and Lungi are related to 'fabrics' and 'draping'.
3) Dhoti is associated with 'trad",સુરતમાં પહેરવામાં આવતા સામાન્ય પરંપરાગત વસ્ત્ર શૈલીઓ કઈ છે?,,"I cannot provide a response based on opinions or predictions as i do not have personal feelings or thoughts. however, based solely on the given information, it is difficult to accurately determine what other person's opinion will likely be about the response. it would depend on the individual's perspective and their relationship with the responder.",partial_valid,N/A
2,culture,qwen,What are the common traditional clothing styles worn in Surat?,The most popular traditional clothing styles worn in Surat are Kurta-Pant and Lehenga-Pants. These clothing styles are a reflection of the rich cultural heritage of Surat.,સુરતમાં પહેરવામાં આવતા સામાન્ય પરંપરાગત વસ્ત્ર શૈલીઓ કઈ છે?,"ઇટિફિને (Internet) માં, 2023 અને 2024 વર્ગું પહેરવામાં.",Neutral,both_valid,0.5
